Nom,Adresse,Prestations,Tel,Website,page
 Pegast ," 63 r Pierre Demours, 75017 PARIS", Prestations : sandwicherie, 01 45 33 77 30 ,null http://fr-fr.facebook.com/lemeilleurestalinterieur http://www.pegast.fr,43
 En Direct de nos Producteurs - Rôtisserie & Epicerie ," 248 r Convention, 75015 PARIS"," Prestations : rôtisserie, Plats prêts à cuisiner, Achat en ligne, Commande rapide, Livraison à domicile", 01 42 22 46 78 ,null http://www.facebook.com/En-Direct-De-Nos-Producteurs-Paris-2288657094793960/ http://www.endirectdenosproducteurs.fr/ http://www.roger-junca.com/,43
 Shanghai Parisien ," 49 r Cherche Midi, 75006 PARIS"," Prestations : traiteur chinois, traiteur japonais, traiteur halal, traiteur à domicile, plateau repas, boisson, vente à emporter, livraison de repas à domicile", 01 45 35 64 95 , ,43
 Boutique Mavrommatis Censier ," 47 r Censier, 75005 PARIS"," Prestations : traiteur grec, traiteur à domicile, repas d'affaire, repas d'anniversaire, organisation de réceptions, boisson, livraison de repas à domicile", ,null http://www.facebook.com/pages/mavromatis/489086224467126 http://www.mavrommatisenligne.fr/index.php?page=6,43
 IANA ," 32 r Lancry, 75010 PARIS"," Prestations : livraison de repas bio, traiteur italien, repas d'affaire, repas d'anniversaire, repas sans gluten, repas sans sel, plateau repas, plateau repas bio, vente à emporter, cuisinier, repas végétarien", 01 42 85 19 65 , ,44
 12h25 ," 2 r Cambon, 75001 PARIS"," Prestations : traiteur à domicile, plateau repas, vente à emporter", 01 42 60 00 84 ,http://www.lepetitflottes.fr,44
 R-Wan ," 47 r Balard, 75015 PARIS", , 01 44 26 34 11 ,http://www.facebook.com/pages/category/Italian-Restaurant/RWAN-215363448611437/,44
 Bagelstein Courcelles ," 31 bd Courcelles, 75008 PARIS"," Paiement : CB, Visa, Mastercard, Titres restaurants", 01 74 64 29 62 ,null http://www.facebook.com/BagelsteinCourcelles http://www.facebook.com/bagelstein http://www.bagelstein.com,44
 Les Roses ," 6 r Boulitte, 75014 PARIS", , 06 22 99 51 45 , ,44
 HOLLYCOCKTAILS ," 125 bd Sérurier, 75019 PARIS", , 06 63 39 61 52 , ,44
 Matthieu & Pauline ," 20 r Boissière, 75116 PARIS", , 06 76 74 36 02 ,null http://www.facebook.com/matthieupauline http://www.matthieupauline.fr,44
 Subway ," 79 r Taitbout, 75009 PARIS"," Prestations : sandwicherie, saladerie", 01 42 80 07 51 ,null http://www.facebook.com/SubwayEnFrance http://www.subway.com/fr-fr http://www.subwayfrance.fr,44
